"Variable","Coefficient"
"age",0.0190927640751698
"genderMale",-0.061099866515046
"stageStage III",0.0672741202041386
"stageStage IVA",0.670425569536004
"stageStage IVB",1.25936624422178
"stageStage IVC",3.15305937401724
"primary_siteLarynx",-0.480727749798427
"primary_siteTonsil",-0.424671439846053
"primary_siteOther",-0.205560109955926
